GENE_NAME	human	human	cow	cow	cow	marmoset	marmoset	dog	armadillo	gorilla	gorilla	musMusculus	musMusculus	musMusculus	musMusculus	musMusculus	musMusculus	musSpretus	musSpretus	musSpretus	musCaroli	musCaroli	musCaroli	musCaroli	opossum	opossum	opossum	ferret	rabbit	chimp	chimp	bonobo	bonobo	orangutan	orangutan
CCDC186	0.99	0.72	3.7	2.67	2.63	2.66	0.8	2.75	3.62	1.81	2.18	3.95	4.01	4.72	3.12	2.74	2.04	1.28	1.33	1.3	0.94	1.64	0.6	1.19	1.91	2.81	4.44	8.5	7.29	1.19	1.91	1.43	1.03	1.75	1.95
ITGA2B	0.51	0.76	3.29	4.93	7.63	1.7	0.6	0.78	0.86	1.18	0.55	2.83	2.74	2.39	3.4	3.16	1.75	2.08	2.32	2.35	4.74	4.32	3.4	2.71	7.38	6.64	3.97	1.23	1.22	0.15	0.02	1.23	3.72	1.29	6.49
VWA2	0.14	0.06	0.03	0	0.03	0.15	0.62	0.5	0.12	0.1	0.08	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0.04	0.31	0	0.06	0.52	0.08	0.1	0	0.2	0.05	0.7	0.38
SALL2	0.36	0.71	NA	NA	NA	0.27	0.07	3.35	0.09	0.74	0.42	0.45	1.96	1.06	0.7	1.58	0.69	0.2	0.17	0.24	0.02	0.1	0.2	0.06	0.86	1.16	0.32	0.05	0.24	0.25	0.08	1.4	0.17	0.25	0.26
TRUB1	3.22	1.31	0.76	0.92	1.04	3.17	1.85	1.22	1.35	2.97	2.67	4.01	5.63	6.58	7.49	6.47	3.52	2.95	4.69	4.98	1.7	1.33	1.74	1.8	2.38	3.06	7.44	2.71	3.6	1.87	1.24	2.15	2.38	2.17	1.52
ERICH6B	0	0.37	NA	NA	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.82	1.56	0.03	0	0.03	0	0	0	0	0	0
ZFYVE1	12.61	6.46	11.58	13.55	17.91	24.46	16.98	16.44	5.44	4.07	5.58	37.1	22.73	30.09	22.33	28.18	16.69	16.39	14.73	16.8	16.91	17.54	17.41	17.51	8.39	13.39	11.47	13.04	12.74	8.03	5.98	3.26	5.15	11.05	6.27
C10orf82	0.32	0.32	0	0	0	15.04	10.86	0	0	0.14	0	0	1.14	0.06	0	0	0	0	0	0	0	0	0	0	0.21	0	0.04	0	0.18	0	0	0.28	0	0.06	0
HSPA12A	0.4	0.23	0.32	0.44	0.41	0.41	0.24	0.87	0.72	1.39	0.75	0.45	0.37	0.97	0.41	0.38	0.23	0.9	0.49	0.58	0.67	0.66	0.65	0.43	0.54	0.95	0.56	1.66	8.48	0.44	1.84	1.34	1.84	3.37	6
AP3M2	1.68	1.26	0.79	2.28	1.1	5.64	2.92	1.25	0.33	2.48	1.18	1.13	0.92	0.99	0.9	0.76	0.51	0.92	0.81	0.67	0.32	0.55	0.5	0.34	1.64	1.54	1.37	2.08	1.69	2.41	6.77	3.47	2.31	3.06	3.72
ANKRD2	0.14	0.07	0.55	0.23	0.47	0.11	0.09	0.08	0.25	0.3	0.27	0.06	0.33	1.29	0.11	0.74	0.03	0.12	0	0.09	1.05	1.35	1.74	2.71	0.44	0.19	0.2	0	0.1	0.08	0.05	0.13	0.23	0	0
E2F7	0	0.02	0	0.1	0.06	0.23	0.01	0.24	0.04	0.02	0.06	0.84	0.58	0.66	0.54	0.38	0.22	0.75	1.25	0.5	0.42	0.28	0.05	0.32	0.07	0.32	0.09	0.54	0.3	0.04	0.09	0	0.03	0.02	0.06
ARHGAP42	3.5	1.1	1.77	2.6	2.36	3.75	0.94	3.49	5.58	2.07	1.12	10.32	17.13	18.58	18.26	14.49	11.57	10.35	5.94	8.33	5.75	5.1	5.38	5.95	1.63	1.41	1.72	6.28	3.85	2.43	1.42	1.68	1.45	NA	NA
ISCA2	11.98	9.63	12	9.11	8.37	26.92	27.7	2.32	9.29	9.28	8.16	16.18	23.74	28.34	27.73	19.32	20.5	21.55	19.59	23.92	25.09	24.19	23.36	26.22	22.92	22.45	8.04	17.95	19.15	25.66	18.71	13.97	17.53	6.99	5.94
OTOGL	0	0	1.53	1.06	0.72	0.01	0.01	NA	0.42	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27	0.3	0.22	0	NA	0	0	0.02	0	NA	NA
LARGE2	1.96	2.12	2.25	3.28	5.89	0.16	0.15	5.86	27.09	0.68	0.28	0.67	0.33	0.28	0.26	0.23	0.38	3.16	3.57	2.38	6.52	7.43	15.59	11.6	30.03	51.99	4.84	3.51	2.63	NA	NA	NA	NA	0.58	0.28
PACSIN3	48.27	36.94	36.33	43.52	91.32	34.31	25.52	28.06	50.44	33.84	25.78	63.93	61.08	43.1	41.31	45.83	17.08	41.4	35.69	50.53	32.78	48.45	46.48	45.09	114.44	117.19	61.8	49.87	64.96	49.35	30.7	25.51	27.95	29.35	7.35
SLC39A13	7.45	5.16	6.59	7	21.39	9.07	5.37	5.08	9.38	10.68	12.01	5.8	10.34	5.24	9.96	9.13	4.16	7.51	8.44	6.96	6.25	5.43	11.94	11.67	7.44	6.2	5.67	3.7	20.65	14.41	19.44	8.72	7.12	5.5	4.02
CNGB1	0.1	0.03	0	0	0	0	0.05	0	1.27	0	0.02	0.06	0.26	0.12	0.03	0.04	0.01	0.12	0.31	0.46	0.02	0.04	0.05	0.09	0	0	0	0.11	0.13	0.03	0.11	0	0.06	0	0
AGBL2	12.65	2.14	NA	NA	NA	2.14	0.61	1.14	24.07	4.66	3.84	0.33	0.97	0.42	0.53	0.21	0.21	0.34	0.12	0.39	0.42	0.4	0.45	0.44	0.81	0.97	2.13	0.96	1.16	5.66	0.33	10.76	5.62	1.32	0.22
TC2N	0.51	0.87	0.51	0.44	0.31	8.42	5.43	10.36	5.51	3.24	2.61	0.31	0.57	0.61	0.59	0.52	0.57	4.59	2.67	3.53	0.62	0.6	0.45	1.16	0.65	1.12	4.04	6.66	0.92	0.22	0.15	1.2	0.82	6.36	13.45
CPSF2	10.12	2.79	12.56	10.64	6.23	10.02	6.91	10.14	2.99	4.35	6.1	5.06	6.27	6.17	7.62	6.5	5.04	4.59	2.34	3.69	2.44	3.09	2.3	1.98	7.36	8.78	19.69	23.67	8.92	6.17	7.81	7.1	5.57	10.28	10.36
SERPINA12	0.35	0.07	0	0.05	0	0.05	0	0.28	0	0	0	19.47	11.34	11.45	25.87	15.59	46.68	405.39	277.13	338.15	0	0	0	0	0.08	0.3	0.75	12.09	0.11	0	0	0	0.03	0.06	0
CLMN	16.77	10.15	7.56	16.41	18.68	25.84	8.22	2.58	2.86	3	4.08	26.32	20.52	30.18	28.17	27.75	12.19	12.33	11.75	9.41	10.33	5.44	10.21	11.37	39.1	76.9	83.09	18	59.68	13.51	17.79	15.86	35.3	11.71	10.06
ST6GALNAC2	4.02	0.45	4.05	5.43	4.37	15.01	7.05	0.66	0.4	3.01	2.35	1.89	2.89	0.97	0.58	0.53	0.67	0.69	2.19	0.91	0.25	0.05	0.39	0.36	0	0	0.22	5.26	0.47	1.95	2.22	1.81	2.82	2.52	2.3
SLC6A5	0	0	0	0	0.02	0	0	0	0	0	0	0.24	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC38	0.43	0.39	0.66	0.32	0.08	0.18	0.03	0.32	0.51	0.03	0.03	0.04	0.37	0.22	0.11	0.16	0.08	0.24	0.15	0.05	0.29	0.34	0.17	0.12	0.16	1.37	1.14	0.51	1.52	0.25	0.03	0	0	0	0.05
NELL1	0	0.05	NA	NA	NA	0	0.04	0	0.03	0.79	0.13	0	0	0	0.03	0	0	0.08	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.03	0	0.02
PTER	3.02	2.29	1.44	1.14	0.76	3.88	0.3	9.56	60.43	1.13	0.92	44.45	45.69	86.9	59.44	43.18	38.57	2.51	2.41	2.72	26.87	31.5	20.81	24.43	7.36	14.61	11.33	45.83	3.33	3.14	2.59	2.08	1.43	9.68	2.99
C1QL3	0.18	0.12	0	0	0	0	0	NA	0	NA	NA	0.29	0.05	0.39	0.17	0.13	0.24	0.03	0	0.04	0.11	0.12	0.08	0.12	0	0.19	0	0.22	0.56	0.67	0.92	0.4	0.09	0	0
CACNB2	0.92	1.57	0.83	0.77	1.67	7.1	3.43	0.05	2.1	5.27	5.02	0.1	0.09	0.29	0.16	0.07	0.04	0.02	0	0	0.18	0	0.11	0	0.45	0.42	0.21	1.34	0.67	3.06	0.58	0.94	1.97	2.76	1.15
HACD1	1.05	0.57	13.87	10.18	11.38	6.34	7.26	0.64	4.38	NA	NA	4.43	7.79	11.13	15.29	10.38	12.55	0	0.79	0.38	4.55	4.7	4.47	4.63	0	0	0	7.15	0.56	0.3	0.33	5.39	0.27	23.18	15.31
ARL5B	1.52	1.36	1.01	2.95	1.59	1.58	0.77	1.65	2.05	2.37	0.6	6.03	6.66	8.06	7.19	4.18	4.25	2.81	1.89	2.36	2.28	3.83	1.51	2.31	5.06	7.93	7.63	5.07	6.45	2.88	4.09	1.47	3.17	2.25	8.28
CHAT	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0.04	0	0	0
KCNC2	0	0.17	NA	NA	NA	0.05	0.11	0	0	0	0.03	0	0	0.01	0.01	0	0	0	0	0	0	0	0.01	0	0.17	0.15	0.16	0.32	0.01	0.08	0.17	0.13	0	0	0
ABTB2	7.39	3.59	5.47	5.23	9.85	20.57	5.4	10.33	10.34	2.46	8.77	3	7.9	6.13	4.06	4.55	1.38	10.44	8.65	6.1	6.25	11.23	8.31	6.8	35.18	72.82	11.92	21.39	22.46	24.84	13.33	2.23	5.22	4.81	2.58
R3HCC1L	2.08	2.05	4.81	4.91	3.07	10.56	13.87	2.36	4.41	5.88	4.43	6.01	7.1	8.91	4.35	5.49	2.83	8.84	4.56	8.13	3.98	3.6	4.35	2.44	2.58	3.52	4.28	8.97	4.6	1.74	4.55	2.71	2.52	3.29	2.57
AMOTL1	2.98	1.63	2.59	5.11	4.29	0.69	0.09	1.03	2.2	2.65	1.38	2.22	3.47	4.19	1.83	2.37	1.1	0.98	1.01	0.94	4.44	3.76	3.41	6.8	3.01	4.18	1.45	2.09	1.68	3.75	3.93	4.22	2.24	1.04	1.33
HTRA1	27.77	32.47	11.29	6.56	5.88	8.43	7.16	39.35	9.39	27.68	23.3	0.61	1.88	2.95	0.85	1.72	1.11	2.13	0.46	3.47	1.01	0.82	0.87	1.31	1.04	1.76	0.86	224.18	6.25	19.34	20.1	25.12	57.23	26.26	21.31
LIPC	216.74	106.72	178.65	149.17	73.98	34.41	14.03	256.16	94.35	18.91	15.67	63.23	63.83	151.36	117.14	112.81	96.56	201.28	152.26	164.16	184.5	205.24	226.26	205.43	7.08	1.03	9.94	574.33	78.89	91.73	14.77	24.47	37.42	5.74	4.57
CEP57	5.9	10.31	6.17	3.86	3.26	4.53	1.97	4.14	6.04	9.39	6.58	6.14	4.34	8.68	9.22	8.43	6.57	10.03	18.89	12.25	8.68	11.71	10.12	10.07	2.83	2.6	3.71	23.36	4.97	8.92	7.18	8.93	10.77	3.67	4.44
TCP11L2	1.4	0.86	7.76	3.83	3.89	3.12	2.82	6.02	3.5	1.9	1.24	11.6	5.12	8.25	12.83	14.21	10.36	7.65	4.39	5.29	8.22	7.87	8.11	5.76	18.89	45.85	15.45	13.33	11.38	0.28	0.92	0.71	1.76	4.18	3.33
TMCO5A	0	0.05	0	0.41	0.09	0	0	0	0	0	0	0	0.49	0	0	0	0	0	0	0	0	0	0	0	0.32	0.13	0.24	0	0.04	0	0.27	0.13	0	0	0
GPR176	0.21	0.25	0.04	0.17	0.14	0.05	0.06	3.26	0	1.04	0.3	0	0	0.02	0.03	0.01	0	0.05	0.03	0.1	0	0	0	0	0.05	0.27	0.01	0.11	0.43	0.41	0.56	0.52	0.22	0.88	2.57
JAM3	0.92	0.69	10.66	10.98	8.83	0.36	0.36	0.87	3.59	6.89	1.95	0.9	0.47	1.15	0.88	0.54	0.54	0.16	0.33	0.34	0.43	0.82	0.96	0.45	1.16	1.57	1.45	9.37	6.75	1.54	1.35	3.19	2.92	1.3	3.44
IL25	0	0	0	0.17	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMTM5	0.11	0.21	0	0	0	0.39	0	0	0	0.25	0.1	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0.12	0.36	0	0	0.29	0	0	0.24	0.58	0.09	0.27
ADAMTS15	0.04	0.04	0.46	0.5	0.83	0.29	0.29	0.13	0.33	0.25	0.08	0.28	0.5	0.32	0.12	0.14	0.08	0.37	0.29	0.15	0.05	0.12	0.09	0.1	0.55	0.93	0.4	0.43	0.31	0.43	0.27	0.26	0.19	0.17	0.08
SVOP	0.59	0.08	0.13	0.26	0.24	0.03	0	0	0.17	0.05	0	0	0	0	0.13	0	0.01	0	0	0	0.08	0	0.1	0.04	0	0	0.18	0	0	0	0	0.27	0	2.46	2.81
SPATA19	0	0	0	0.52	0	0	0	0	0	0	0	0	1.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	NA	0	0	0	0.21	0	0	0
TESK2	2.95	3.28	2.3	3.67	3.82	5.33	5.83	4.82	2.08	2.82	3.03	12.81	13.67	14.13	12.16	8.39	4.95	6.1	4.93	5.45	2.53	2.73	4.44	3.87	8.45	9.42	6.49	1.92	3.33	2.41	5	2.02	1.99	3.35	0.98
GPT2	78.52	65.43	9.18	8.63	6.79	106.04	155	11.13	3.51	43.03	74.64	313.64	285.75	290.18	242.31	214.74	80.59	234.26	130.36	176.04	53.13	40.85	56.29	60.18	6.2	1.54	5.31	3.18	125.56	179.23	31.23	40.85	84.98	10.12	30.95
AMN	160.67	10.25	0.27	0.06	1.23	0	0.14	3.3	NA	37.36	79.24	2.39	0.07	0.07	1.6	0.1	0.35	9.26	6.18	12.52	1.02	0.74	0.88	0.7	0	0.19	0.07	28.43	NA	1.11	0.74	0.41	5.31	10.54	12.63
RAB8B	1.83	0.94	10.4	9.06	3.74	12.77	6.84	2.41	0.81	4.54	1.75	1.71	1.89	2.62	0.9	0.71	0.64	1.24	0.68	1.19	0.4	0.81	0.47	0.34	2.3	2.2	7.93	67.07	10.8	4.57	7.64	5.67	3.03	4.85	4.75
IKBIP	0.91	1.28	8.66	4.06	5.87	7.19	4.68	5.77	7.62	2.72	2.35	1.55	2.01	1.67	1.21	1.01	1.8	2.11	0.64	2.7	0.89	1.45	0.79	1.34	3.77	3.51	4.49	14.66	4.15	1.52	7.41	0.78	1.59	1.89	2.65
PPP1R14D	0.1	0.1	0.09	0.1	0.13	0.21	0.24	0	0	0.75	1.43	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0.18	0	0.07	0.45	0.47	0	0	0	0	0	0
FBN1	1.66	1.01	3.19	3.3	1.52	2.34	2.03	1.03	0.72	5.07	1.92	0.85	1.3	1.17	0.52	0.56	0.29	0.34	0.37	0.65	0.55	0.55	0.66	0.56	1.64	0.9	1.05	3.82	5.52	2.66	1.04	2.09	1.15	2.02	5.14
CFAP20	23.41	19.48	7.14	9.55	10.08	19.93	18.53	8.87	4.52	8.99	6.56	15.29	16.94	18.91	14.87	22.84	17.91	18.1	10.62	17.08	15.54	16.03	18.46	18.37	12.56	23.83	7.8	10.33	10.67	18.75	22.46	19.7	20.21	18.93	12.41
AVPR1A	1.47	0.32	13.22	15.03	14.06	1.75	0.83	0.1	13.37	0.08	0.19	9.02	9.73	9.27	5.88	9.65	8.55	42.15	37.68	54.21	4.57	6.72	6.84	7.26	18.68	19.4	18.27	2.45	0.03	0.04	0.15	1.14	0.16	11.1	2.03
LRTM2	0	0	0	0	0	0.23	0.28	0.34	0	0.1	0.01	0.1	0.3	0.07	0.03	0.03	0	0	0	0.17	0	0	0	0	0.07	0.06	0.02	0	0	0.03	0.02	0	0.07	0	0
TRMT61A	8.56	3.39	3.32	1.46	25.69	3.85	4.39	1.74	0.75	5.06	4.19	2.87	11.78	7.35	7.98	3.99	1.48	4.89	3.22	4.94	0.85	1.79	1.52	2.35	7.5	3.88	2.49	17.9	8.97	8.29	13.37	2.31	2.1	2.75	4.22
BTRC	2.4	1.16	5.72	6.35	4.59	8.63	4.81	3.29	1.83	2.75	2.9	3.21	3.54	2.93	3.62	3.88	2.18	3.81	3.53	2.89	2.73	1.9	4.11	6.56	4.01	4.95	4.84	8.29	3.91	1.96	2.68	2.64	2.7	5.06	2.39
POLL	8.75	7.62	2.94	4.86	6.02	2.49	1.95	2.85	2.03	8.97	10.34	3.28	5.45	2.73	4.4	7.67	3.29	5.63	2.78	4.06	5.05	5.12	5.43	5.25	1.43	1.22	1.02	6.11	4.49	13.28	9.71	5.38	8.12	9.14	3.09
DPCD	2.85	3.39	15.27	13.19	18.47	10.59	9.29	5.42	2.98	11.49	11.99	7.64	7.58	9.16	7.8	7.98	5.34	9.07	6.96	7.51	6.46	7.58	6.78	6.39	10.45	8.58	9.48	41.09	8.97	8.71	15.86	5.99	6.11	14.6	19.05
LARP6	4.97	3.52	0.65	0.24	0.47	0.56	0.32	0.14	3.63	4.14	5.35	0.03	0	0.07	0	0.02	0.01	0.03	0	0	0	0	0	0.06	0.76	0.83	1.22	4.08	0.3	1.38	6.31	2.3	1.01	2.82	2.46
API5	18.09	10.36	28.69	27.32	16.41	22.45	17.4	14.51	13.53	6.91	6.77	20.71	22.63	24.38	22.51	17.29	16.55	24.53	10.64	15.11	7.98	9.28	5.89	7.1	22.8	42.33	54.77	47.37	NA	15.2	14.18	12.21	8.15	1.58	1.76
ASPG	117.54	71.66	6.14	5.16	10.72	NA	NA	45.35	NA	26.05	101.71	50.01	132.19	74.39	87.49	145.01	71.42	26.53	6	14.17	20.24	26.45	32.09	22.1	41.5	55.31	62.11	59.36	43.93	71.58	26	53.75	31.95	16.15	20.2
ALKBH3	7.25	9.6	14.14	14.66	14.3	5.17	8.93	6.3	6.07	9.45	6.1	17.9	20.37	17.93	21.49	23.64	13.03	20.58	12.31	17.08	23.08	25.78	33.59	31.97	0	0	0	3.84	7.35	2.79	10.68	4.38	5.22	3.62	2.63
COPS2	9.37	8.71	27.98	19.66	9.27	28.48	15.34	14.76	10.22	13.01	9.69	20.3	20.47	26.4	28.27	22.48	27.43	33.16	24.77	23.04	16.35	17.51	16.59	15.29	9.55	12.75	19.95	41.88	32.75	4.67	6.2	8.2	7.69	6.55	9.38
GABRB3	0.14	0.13	0	0	0.01	0.04	0.37	12.8	0	0.33	0.02	0.12	0.22	0.52	0.69	0.27	0.08	0.05	0.02	0	1.63	1.35	0.52	1.08	0	0	0.02	0	0.04	0.1	1	0.51	0.89	0.15	0.25
TBATA	0	0	3.4	26.03	22.63	0.09	0.05	0.21	39.11	0	0	0.09	0.93	0	0	0	0	0	0	0	0.29	0	0.08	0.23	0	0	0	0	0.19	0	0	0.1	0	0	0
SGPL1	14.23	9.01	64.46	217.62	215.28	10.22	1.3	20.06	93.11	7.88	9.71	23.1	21.39	24.02	25.69	30.27	22.23	36.21	17.29	25.11	14.76	20.91	13.86	16.56	26.99	22.69	16.66	62.05	176.94	11.99	16.21	6.76	3.14	16.71	8.37
FRS2	3.16	0.94	2.59	4.57	3.13	3.47	2.29	3.76	0.88	2.61	2.1	5.42	6.64	7.3	6.97	4.63	3.06	1.87	2.21	1.74	1.19	1.55	1.39	2.26	4.19	6.35	7.46	9.7	4	1.82	2.21	2	2.28	2.8	2.06
CCT2	28.82	17.99	79.93	82.14	77.67	70.4	58	47.47	33.05	26.39	19.99	51.82	73.14	73.77	72.44	71.83	49.96	47.92	26.26	37.05	33.89	36.18	28.92	32.65	16.53	22.29	37.39	105.91	101.26	21.88	45.95	20.32	24.92	24.55	49.38
PCBD1	295.56	201.82	363.05	461.43	351.77	1186.2	622.32	397.28	49.12	164.46	128.73	331.3	306.61	323.58	354.64	326.75	268.57	383.44	255.08	258.43	259.09	287.07	223.56	259.71	431.28	518.99	156.97	546.91	285	228.85	107.97	220.51	157.35	174.77	166.53
ARIH1	22.4	6.26	14.47	13.08	11.8	8.82	3.91	9.29	9.35	7.29	7.04	34.32	32.87	39.15	18.71	14.96	9.97	7.56	4.3	8.62	4.66	4.82	3.35	4.89	23.73	42.06	23.96	18.18	31.5	11.59	10.6	7.14	9.01	9.95	11.72
C16orf71	0.16	0.14	0.64	0.65	1.77	1.01	1.6	0.25	0.18	0.03	0.16	0.36	0.33	0.13	0.43	0.23	0.21	0.8	0.61	0.48	3.74	3.61	5.43	4.67	0.14	0.27	0.18	1.51	0.1	0.14	0.25	0.07	0	0.27	0
CLMP	0.06	0.11	0.47	0.21	0.21	0.24	0.55	0.39	0.24	0.5	0.1	0.23	1.18	1.82	0.09	0.86	0.11	0.61	1.01	1.08	0.16	0.13	0.29	0.04	1.34	0.4	0.22	1.87	0.83	0.47	0.22	0.53	0.82	0.6	0.75
SCN3B	0.06	0.18	0	0	0	0	0	0	0	1.51	1.48	0.2	0.03	0.2	0.07	0.02	0.01	0	0	0	0.11	0.25	0.2	0.22	0	0	0	0	0.62	1.41	0.91	2.18	1.46	0.44	1.26
STPG1	0.71	0.61	0.03	0.08	0.37	0.7	0.5	0.04	0.88	0.08	0.11	0	0.69	0.25	0.02	0.15	0.04	0.4	0.62	0.52	0	0.06	0.09	0	0.59	0.11	0.12	0.23	0.02	0.14	0.16	0.11	0	0	0.04
ASB4	0.13	1.3	0.32	0.42	0.53	0.41	0.07	0	0.02	0.04	0.09	0.12	0.25	0.16	0.05	0.11	0.19	0.06	0.08	0.15	0	0	0.02	0	4.35	1.78	1.13	0.24	0.71	3.5	0.9	1.92	2.23	1.49	0.87
ZNF202	2.18	1.06	1.6	2.27	2.34	3.87	2.26	1.34	1.88	2.58	1.38	0.44	0.38	0.28	0.2	0.35	0.28	0.34	0.21	0.5	0.38	0.34	0.45	0.62	2.45	3.59	5.36	2.91	1.78	1.93	1.9	1.75	0.7	1.33	1.42
FAM227B	1.25	2.24	NA	NA	NA	0.39	0.86	0.17	0	NA	NA	0	0.08	0	0	0	0.01	0	0	0	0	0.05	0	0.09	0	0	0.03	8.71	0.74	0.13	0	0.05	0.04	2.83	3.98
CUL5	6.04	2.82	7.63	5.64	3.86	5.75	4.34	5.2	1.2	3.27	2.82	4.5	6.68	5.85	6.73	5.45	5.25	3.21	2.08	3.03	1.65	1.62	1.16	2.5	3.9	4.94	9.46	12.17	16.69	3.16	2.86	3.34	3.81	3.85	2.54
CAMK2A	0.41	0.23	0.16	0.21	0.05	2.35	3.55	0.13	0	0.05	0.03	0.26	0.2	0.14	0.49	0.04	0.02	0.11	0.22	0.39	0	0.02	0.01	0	0	0.1	0.04	0.06	11.34	0.26	0.14	0.41	0.14	0.43	0.1
PLEKHF1	4.01	5.84	3.98	3.33	7.96	0.33	0.27	1.08	0.61	7.62	14.33	18.04	10.84	4.89	10.01	10.99	13.11	3.37	4.08	6.65	19.11	11.95	28.7	22.65	3.74	6.22	0.99	7.65	14.82	18.54	19.06	7.32	15.22	31.81	12.66
TMEM100	0.25	0.67	5.45	2.94	3.2	0.98	2.37	0.49	1.9	1.25	5.82	0.75	0.2	0.3	0.07	0.11	0.28	0	0	0.11	0.22	0.31	0.12	0.25	3.65	8.03	1.08	1.13	0.18	0.93	1.05	0.79	2.08	3.45	5.04
SMPD1	28.1	32.15	16.72	25.17	31	63.41	47.64	22.41	21.13	14.79	15.93	21.23	30.72	22	33.28	34.06	22.11	38.79	28.19	30.48	18.44	21.08	26.11	23.46	22.66	24.37	19.69	28.5	60.5	22.55	22.3	31.85	28.38	15.6	14.71
APBB1	3.71	2.44	0.72	0.89	1.33	0.56	0.86	2.04	0.56	5.41	2.94	0.31	0.66	0.45	0.49	0.45	0.21	0.25	0.32	0.42	0.78	2.01	1.58	1.92	3.01	1.83	1.66	7.19	5.42	6.64	7.99	5.22	5.53	2.77	4.02
SYNPO2L	0.48	0.09	0.04	0.05	0.06	2.41	1.2	0.08	0.03	2.6	1.91	0.02	0.13	0.01	0.18	0.06	0.01	0.88	0.91	0.75	0.08	0.02	0	0.04	0.07	0.04	0.07	NA	0.09	6.14	6.51	3.7	4.25	0.93	0.06
NUDT13	2.31	2.65	7.87	9.93	8.85	4.4	11.72	7.84	9.8	NA	NA	4.27	4.82	4.3	5.08	6.25	3.33	3.34	1.49	2.51	3.67	4.8	4.76	2.62	2.53	8.43	4.11	4.03	1.67	13.01	3.44	6.66	4.01	1	0.52
C11orf65	0.66	0.92	NA	NA	NA	0	0	0	10.37	0.32	0.62	0.27	0	0	0	0.04	0.01	0.05	0.44	0	0	0	0	0	0.6	0.38	1.33	0.32	0	0.55	0.07	0.1	0.4	0.23	0
TRIM44	19.47	4.74	8.46	5.19	10.47	14.79	7.79	4.5	10.5	8.8	17.63	14.63	18.04	27.14	15.18	13.9	9.43	13.19	8.2	10.5	7.13	8.02	7.01	7.57	0.6	0.19	0.28	21.95	21.04	22.13	26.73	11.47	11.59	14.41	8.98
CCDC182	0	0	0	0	0	0.56	0.54	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0
ILK	51.8	30.58	52.18	74.99	47.09	46.24	27.73	36.24	30.08	67.53	41.03	35.13	42.6	41.64	47.94	52.8	33.89	57.09	36.23	47.37	27.59	24.59	31.25	33.08	24.42	23.77	20.46	49.82	53.39	39.2	41.81	32.4	43.14	44.17	73.04
TPP1	26.76	25.15	34.21	88.63	53.65	99.51	31.9	53.42	19.53	60.21	40.29	27.32	37.46	31.69	47.43	36.09	21.05	42.7	59.59	36.43	13.51	17.02	18.33	29.05	86.01	93.47	51.36	81.44	58.56	47.17	33.7	26.16	36.89	56.86	56.28
DCHS1	1.15	0.63	1.33	1.96	2.37	2.03	1.81	0.32	0.64	2.91	2.76	0.28	1.18	0.9	0.49	0.65	0.16	0.26	0.39	0.45	0.41	0.42	0.84	0.54	3.38	3.72	0.57	2.3	2.04	3.42	1.35	1.39	1.19	NA	NA
NETO1	0.28	0	0.15	0	0	7.68	2.4	0	0.64	0	0	0.07	0.03	0.05	0.12	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05
USP54	1.55	1.3	0.95	1.24	1.15	1.45	0.79	0.21	0.99	5.31	5.69	1.24	1.77	1.2	1.82	1.31	0.85	0.96	2.04	1.2	0.78	0.71	1.24	0.91	1.17	1.93	1.08	2.56	1	0.18	0.38	0.46	0.23	1.74	1.04
RAG1	0.13	0.23	0	0	0	0.02	0	0	0.14	0.31	0.21	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.69	0.26	0.83	0.18	0.72	0.35	NA	NA
C11orf74	3.42	6.69	19.06	12.11	9.58	3.59	5.63	10.23	6.93	5.77	5.27	11.47	13.14	14.23	13.01	13.71	14.84	10.08	8.64	8.92	10.66	13.71	11.38	12.16	0.5	0.63	0.81	37.64	4.21	2.97	2.27	6.51	6.85	6.46	4.38
WDR88	0.28	0.1	0	0	0.05	0.09	0.05	0.14	0	0.14	0.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0.05	0	0.1	0.58	0.04	0.35	0.12	0.55	0.04
ATP9B	13.89	8	11.4	11.91	20.45	4.82	3.44	4.85	9.59	3.57	3.6	10.58	11.4	11.88	11.52	12.54	6.3	11.75	6.42	8.52	5.19	5.46	4.9	3.77	2.08	1.32	2.5	15.63	3.16	6.23	4.4	2.74	2.28	3.75	1.82
